n03710637,n03782006,n04525038,n04154565,n04560804,n04355933,n04152593,n04357314,n03532672,n12144580,n03016953,n04356056,n03832673,n04270147,n03642806,n03710721,n03041632,n04479046,n04591157,n02999410,n03658185,n01740131,n04493381,n03866082,n03803284,n02776631,n01756291,n04008634,n04392985,n03692522,n07860988,n02109961,n02979186,n04336792,n04286575,n03633091,n04090263,n02113712,n03476991,n02974003,n04370456,n02123159,n04596742,n03793489,n03770439,n02988304,n02747177,n02769748,n02107908,n02895154
n07930864,n03141823,n04317175,n03976657,n07734744,n04026417,n02910353,n04443257,n03970156,n03045698,n03400231,n03372029,n03125729,n04239074,n02443114,n04599235,n04350905,n07932039,n02814533,n03958227,n15075141,n01644900,n01744401,n02815834,n03146219,n02749479,n04557648,n03657121,n03249569,n02808440,n02097474,n03250847,n01667114,n03297495,n01689811,n04325704,n02403003,n03637318,n03483316,n02669723,n03476684,n04591713,n03950228,n02089973,n03961711,n03759954,n04548280,n02094433,n01682714,n03110669
n03868863,n02441942,n04192698,n04263257,n02892767,n03724870,n02676566,n01985128,n03770679,n03887697,n03220513,n04285008,n01773549,n04099969,n02791270,n07836838,n02395406,n02825657,n02939185,n04067472,n04004767,n06596364,n04041544,n02168699,n02504013,n03124170,n01665541,n03498962,n03207941,n02096294,n02708093,n01667778,n02119789,n02841315,n03814639,n03930630,n03908618,n04590129,n02493793,n03888605,n03124043,n02916936,n02113624,n02909870,n03661043,n03763968,n04507155,n04033995,n02783161,n07579787
n02124075,n02088466,n04328186,n01693334,n04355338,n03450230,n01729322,n02114712,n04404412,n04235860,n03017168,n03761084,n04548362,n03908714,n03995372,n03691459,n02090721,n03530642,n03933933,n03461385,n04371430,n03485407,n04208210,n04597913,n04081281,n02786058,n03481172,n04476259,n03666591,n03796401,n02978881,n09428293,n02093428,n02229544,n02087046,n02094114,n04428191,n01755581,n02105251,n02236044,n03216828,n03871628,n03903868,n04522168,n04254120,n02951585,n03179701,n04532106,n03709823,n03376595
n03347037,n09399592,n07584110,n01737021,n02488291,n04127249,n02795169,n04264628,n02107312,n02493509,n07684084,n02108000,n03534580,n03895866,n02443484,n04265275,n04461696,n03785016,n02483708,n04332243,n07920052,n03223299,n02226429,n03065424,n03063689,n02087394,n09193705,n13133613,n01739381,n03180011,n03877472,n04536866,n03063599,n04487394,n03843555,n04136333,n02526121,n03291819,n09332890,n03089624,n02167151,n02085620,n01749939,n01630670,n07892512,n02097658,n02098413,n02840245,n02992529,n02971356
n03459775,n03255030,n03494278,n03733805,n09421951,n04467665,n03773504,n04505470,n02808304,n04330267,n04116512,n07716358,n03047690,n04133789,n02096177,n02113186,n04141975,n02098105,n02704792,n02412080,n02123045,n04380533,n02137549,n02823750,n07615774,n07614500,n02102318,n04259630,n03529860,n03742115,n03776460,n02231487,n04009552,n02110185,n03196217,n02442845,n02095570,n01978455,n02879718,n02119022,n07871810,n03876231,n02093256,n02091831,n02091635,n02093991,n01990800,n03075370,n03781244,n02106030
n02109047,n03424325,n02089867,n01753488,n02486261,n02504458,n04366367,n01980166,n02233338,n04254777,n03394916,n03314780,n04579432,n04550184,n02807133,n02110063,n04209239,n04141076,n02797295,n02641379,n02105412,n04542943,n03967562,n03720891,n02834397,n02012849,n04277352,n03188531,n04204238,n04592741,n04275548,n02169497,n02963159,n04069434,n02086240,n03271574,n04023962,n01729977,n01883070,n02870880,n01773797,n03197337,n02906734,n02097130,n04442312,n01697457,n03873416,n02108089,n03388183,n02536864
n03443371,n04423845,n03127925,n04238763,n04376876,n02871525,n03944341,n02268853,n07583066,n03594734,n01641577,n02981792,n02799071,n03355925,n03877845,n02859443,n02105855,n07248320,n04447861,n02640242,n04228054,n04039381,n02883205,n02107142,n03452741,n03764736,n01698640,n02134418,n02097047,n01728572,n02094258,n07711569,n02099601,n02114855,n02127052,n03000134,n01914609,n03706229,n02514041,n13054560,n03920288,n02423022,n01871265,n02206856,n07875152,n07717556,n02804610,n02102480,n03259280,n03690938
n04485082,n03838899,n04372370,n02128925,n02948072,n02877765,n02837789,n03000247,n07590611,n04296562,n01664065,n02099267,n03777754,n04344873,n04517823,n02869837,n01924916,n02106382,n04429376,n01983481,n09835506,n03602883,n03899768,n02363005,n03485794,n04074963,n02104029,n01807496,n01675722,n01945685,n03109150,n04162706,n04209133,n03729826,n01491361,n09246464,n04120489,n02894605,n02992211,n04033901,n02790996,n04435653,n02966687,n02089078,n01498041,n03786901,n02100236,n03085013,n10148035,n04131690
n04258138,n03028079,n03272010,n03032252,n02099429,n03014705,n03891251,n01770081,n04070727,n01496331,n04040759,n01685808,n03787032,n02090379,n03482405,n01776313,n02321529,n01742172,n02730930,n04456115,n04005630,n03929855,n02219486,n02930766,n02823428,n04200800,n03062245,n02256656,n03680355,n04462240,n03983396,n03100240,n02099712,n02408429,n02085936,n03938244,n02100583,n04229816,n02112706,n02100735,n07880968,n02106166,n02099849,n03594945,n02268443,n02483362,n02107574,n01677366,n02091032,n04589890
