n03877472,n03877845,n03868863,n03916031,n09193705,n02051845,n03843555,n04604644,n03884397,n03866082,n09256479,n03874293,n09229709,n03854065,n03908714,n03874599,n03888257,n07753275,n03895866,n03876231,n15075141,n02066245,n03857828,n03891332,n04599235,n03899768,n09332890,n13133613,n09399592,n03888605,n09246464,n04591157,n09288635,n03908618,n07753113,n03920288,n09421951,n03902125,n03868242,n03887697,n02058221,n04606251,n04597913,n04596742,n03873416,n03891251,n04591713,n04592741,n03871628,n03903868
n03877472,n01537544,n07730033,n03837869,n02090721,n01990800,n02002724,n03874599,n01775062,n03770679,n03776460,n03761084,n02017213,n03929660,n07716906,n07747607,n04579432,n03770439,n03773504,n03721384,n01824575,n07717410,n02730930,n02109961,n07754684,n03843555,n07714990,n03888605,n03877845,n09399592,n01924916,n03733281,n02086079,n01770081,n13040303,n03958227,n03544143,n02108000,n03866082,n03976467,n03424325,n04596742,n01689811,n03759954,n01740131,n03868242,n04612504,n02108089,n03450230,n02422699
n03877472,n02102318,n03782006,n02412080,n03729826,n03814906,n03776460,n04311174,n04208210,n03670208,n01631663,n02009229,n07590611,n01833805,n02112018,n03777754,n07583066,n03857828,n04370456,n07614500,n04389033,n03676483,n03920288,n01744401,n07745940,n04507155,n07717410,n03478589,n02033041,n01806567,n02091467,n01614925,n02802426,n03929660,n02727426,n03483316,n04235860,n03529860,n04357314,n01806143,n02111500,n01755581,n02099601,n03452741,n01882714,n02108915,n07584110,n02088632,n02058221,n02172182
n03877472,n03908618,n02108000,n03110669,n07695742,n01735189,n07760859,n03777568,n02817516,n01532829,n02091635,n01775062,n02860847,n03796401,n02782093,n02504013,n02879718,n02174001,n01616318,n06785654,n03888257,n13044778,n04239074,n02097209,n03255030,n04228054,n01755581,n07590611,n01631663,n06794110,n01773549,n02219486,n07753275,n02793495,n01872401,n04532670,n02483362,n03223299,n04099969,n02442845,n03495258,n02326432,n04399382,n03109150,n02226429,n01675722,n02787622,n09472597,n04111531,n02115913
n01873310,n01807496,n01871265,n03743016,n01806143,n07930864,n01828970,n01882714,n01984695,n07932039,n01847000,n01843065,n01986214,n01798484,n01860187,n01978455,n01855672,n01983481,n01784675,n03742115,n01820546,n01990800,n01833805,n03759954,n01797886,n01817953,n01829413,n01877812,n03721384,n03769881,n01775062,n01776313,n01843383,n03532672,n01818515,n01985128,n03724870,n03709823,n01819313,n01855032,n01806567,n01980166,n03770679,n07875152,n01883070,n01795545,n01824575,n03764736,n01981276,n01796340
n01873310,n02325366,n02087046,n03424325,n03733805,n02219486,n03394916,n02056570,n03733281,n01950731,n03733131,n01833805,n02085936,n02364673,n02132136,n01817953,n03535780,n03743016,n03623198,n01986214,n02007558,n13052670,n02389026,n03838899,n03495258,n02133161,n07695742,n01774384,n01734418,n02087394,n02091635,n09256479,n02120079,n01807496,n01860187,n02112350,n04523525,n03781244,n02086910,n01776313,n03642806,n03314780,n02037110,n02086240,n03594734,n02027492,n01728920,n01774750,n03976467,n02011460
n01873310,n02356798,n03787032,n02236044,n03720891,n02009912,n02028035,n01817953,n04264628,n07716906,n04380533,n01871265,n03804744,n04162706,n07717410,n02259212,n01728920,n07695742,n03866082,n03337140,n03063599,n04428191,n01978287,n09332890,n03899768,n03786901,n01534433,n02074367,n04270147,n03791053,n07768694,n07742313,n03837869,n03065424,n03594734,n09246464,n01910747,n04579145,n03970156,n04536866,n04251144,n04557648,n02091032,n02423022,n04591157,n01820546,n01773797,n07684084,n02110063,n02769748
n01873310,n07718747,n01774384,n01669191,n02397096,n07693725,n01728920,n02892201,n02127052,n01877812,n02096585,n04346328,n02094258,n02113712,n03584829,n01770393,n02391049,n13052670,n03770679,n02457408,n01774750,n03314780,n02099601,n04136333,n03218198,n02356798,n02834397,n02504013,n03208938,n02749479,n02097298,n04557648,n02165105,n02093859,n03457902,n01537544,n02167151,n02321529,n03481172,n04252077,n03534580,n03032252,n02087394,n02226429,n12144580,n02276258,n02814533,n03125729,n04326547,n04606251
n02132136,n02229544,n02115913,n02114712,n02120079,n02117135,n02094433,n02119789,n02137549,n02114855,n02129165,n02134418,n02328150,n02096051,n02325366,n02169497,n02123597,n02167151,n02120505,n02127052,n02165105,n02116738,n02231487,n02123394,n02259212,n02094114,n02134084,n02125311,n02119022,n02233338,n02124075,n02326432,n02095889,n02095570,n02130308,n02129604,n02165456,n02115641,n02138441,n02168699,n02095314,n02236044,n02281787,n02094258,n02317335,n02264363,n02172182,n02226429,n02256656,n02321529
n02132136,n02105505,n02128385,n02105855,n02124075,n02128757,n02825657,n02130308,n02396427,n02797295,n02113023,n02206856,n03372029,n02481823,n02412080,n02168699,n02930766,n02395406,n02799071,n02776631,n02655020,n02106030,n02927161,n02116738,n02727426,n02115641,n02487347,n02169497,n02101006,n02979186,n03062245,n02110806,n02100583,n02916936,n02488291,n02988304,n02894605,n02437616,n02808440,n02281406,n02102973,n02704792,n02268853,n02105056,n02966193,n04258138,n03977966,n02497673,n03063689,n02264363
n02132136,n01667778,n02422106,n01773157,n02172182,n04228054,n02099849,n04162706,n01641577,n04418357,n01981276,n02790996,n04507155,n02115913,n02134084,n04146614,n02119022,n03388549,n02699494,n02410509,n02097209,n03216828,n03785016,n02114367,n02085620,n02492035,n03776460,n02091635,n03788365,n02795169,n02109047,n02480495,n04149813,n04554684,n04277352,n02112137,n04392985,n04258138,n02894605,n02415577,n02094258,n02687172,n02808304,n04522168,n04285008,n03133878,n07720875,n02871525,n03980874,n02108551
n02132136,n02412080,n02134418,n03840681,n02099712,n01749939,n02095570,n13040303,n03032252,n03992509,n03710721,n02123045,n03498962,n03666591,n04149813,n03929660,n02490219,n07720875,n03680355,n03692522,n02011460,n03903868,n02927161,n03710637,n02457408,n07579787,n02417914,n03109150,n04392985,n02447366,n03355925,n03062245,n02112137,n02236044,n03223299,n02443484,n02174001,n03717622,n04552348,n07718747,n02098286,n03724870,n02101388,n03642806,n07716358,n03216828,n02112706,n03207941,n04523525,n04131690
n02112706,n02113978,n02113624,n02108089,n02110341,n04239074,n02107142,n04254120,n02110627,n04532670,n04243546,n02444819,n02106662,n02110806,n02111889,n02101006,n02113023,n04548280,n02108551,n02111129,n02110063,n04252225,n02107683,n02111500,n02112137,n02107908,n02114367,n02108000,n02110958,n02113186,n04252077,n02113799,n02109047,n02109961,n02114548,n02111277,n02108422,n02108915,n02107574,n02109525,n04254680,n02112350,n04532106,n02113712,n02107312,n02110185,n04251144,n04536866,n04542943,n02112018
n02112706,n02110627,n02837789,n04325704,n04356056,n02100236,n02835271,n02410509,n02105505,n02108551,n02108915,n02113978,n02168699,n02113186,n02123597,n04509417,n02493793,n02814533,n04238763,n02138441,n07718472,n02100583,n04550184,n02802426,n02361337,n01697457,n07717556,n03271574,n02099712,n02256656,n02109047,n02793495,n02457408,n02112137,n04265275,n03476991,n02814860,n01667778,n04532670,n03218198,n04235860,n02916936,n02169497,n02747177,n02412080,n02442845,n02106166,n01695060,n02823750,n02509815
n02112706,n03929660,n02776631,n02172182,n03782006,n03534580,n03743016,n03590841,n02980441,n02095314,n04127249,n03633091,n03742115,n04147183,n07718472,n04141975,n04553703,n04532106,n03868863,n03452741,n03272562,n02074367,n02102040,n04153751,n09229709,n02971356,n02088094,n02445715,n02113186,n02769748,n01689811,n02096177,n09421951,n04372370,n04251144,n02676566,n02096051,n07873807,n02403003,n01494475,n02105162,n04509417,n04550184,n02437312,n02165105,n02895154,n02114548,n04074963,n03777754,n02097474
n02112706,n02099712,n04562935,n01753488,n09472597,n07716358,n03404251,n02877765,n04357314,n02835271,n03530642,n02106550,n02105855,n03888257,n03535780,n07716906,n04487394,n04442312,n01855032,n03017168,n04612504,n03908618,n02437312,n04228054,n07697313,n13044778,n07873807,n02110063,n02837789,n02489166,n03630383,n02871525,n02098286,n04252077,n03376595,n12620546,n04133789,n02457408,n03337140,n03532672,n02823750,n02840245,n03961711,n03743016,n03124043,n02276258,n03970156,n04264628,n03787032,n02408429
n02977058,n02823750,n02992211,n02974003,n02643566,n02930766,n02504458,n02966687,n02807133,n02981792,n02797295,n02825657,n02814860,n02916936,n02802426,n02808440,n02804610,n02951585,n02965783,n02500267,n02978881,n02815834,n02791270,n02951358,n02917067,n02804414,n02939185,n02927161,n02963159,n02948072,n02795169,n02793495,n02494079,n02493793,n02799071,n02808304,n02966193,n02988304,n02971356,n02980441,n02979186,n02823428,n02509815,n02817516,n02835271,n02504013,n02950826,n02794156,n02510455,n02497673
n02977058,n02107142,n02951358,n02101388,n02870880,n02391049,n02268853,n02841315,n09428293,n02233338,n02834397,n02112137,n02445715,n01675722,n04346328,n02966687,n02104365,n02165456,n04209133,n04557648,n04229816,n02490219,n02494079,n04554684,n02894605,n02791270,n02114855,n04209239,n02442845,n02749479,n02814860,n02105505,n02277742,n02256656,n02692877,n02319095,n02321529,n02132136,n02102177,n04258138,n02808440,n02113023,n02883205,n02999410,n04542943,n02835271,n02120079,n02708093,n02276258,n02892201
n02977058,n04399382,n02396427,n02692877,n03785016,n02978881,n02129604,n03895866,n02823428,n03538406,n03447447,n04311174,n02091467,n04356056,n02823750,n02113799,n07745940,n02102318,n12267677,n03786901,n03602883,n04367480,n03447721,n04335435,n02749479,n02988304,n04493381,n12620546,n03457902,n04141076,n02106030,n02879718,n02233338,n03970156,n04328186,n03976657,n04019541,n12057211,n02094258,n02123394,n02112706,n02497673,n04147183,n02106382,n02276258,n02259212,n02730930,n02074367,n03272562,n03544143
