wnid,accuracy
n01440764,0.84
n01443537,0.91
n01484850,0.8
n01491361,0.67
n01494475,0.76
n01496331,0.74
n01498041,0.61
n01514668,0.72
n01514859,0.74
n01518878,0.96
n01530575,0.83
n01531178,0.84
n01532829,0.86
n01534433,0.94
n01537544,0.88
n01558993,0.9
n01560419,0.8
n01580077,0.84
n01582220,0.82
n01592084,0.9
n01601694,0.82
n01608432,0.72
n01614925,0.92
n01616318,0.72
n01622779,0.92
n01629819,0.9
n01630670,0.56
n01631663,0.72
n01632458,0.73
n01632777,0.78
n01641577,0.71
n01644373,0.8
n01644900,0.38
n01664065,0.68
n01665541,0.52
n01667114,0.4
n01667778,0.48
n01669191,0.76
n01675722,0.66
n01677366,0.74
n01682714,0.46
n01685808,0.72
n01687978,0.64
n01688243,0.76
n01689811,0.44
n01692333,0.72
n01693334,0.5
n01694178,0.72
n01695060,0.76
n01697457,0.58
n01698640,0.67
n01704323,0.78
n01728572,0.66
n01728920,0.8
n01729322,0.44
n01729977,0.6
n01734418,0.68
n01735189,0.82
n01737021,0.54
n01739381,0.55
n01740131,0.26
n01742172,0.68
n01744401,0.42
n01748264,0.78
n01749939,0.54
n01751748,0.67
n01753488,0.54
n01755581,0.46
n01756291,0.22
n01768244,0.91
n01770081,0.68
n01770393,0.88
n01773157,0.88
n01773549,0.46
n01773797,0.5
n01774384,0.76
n01774750,0.78
n01775062,0.68
n01776313,0.64
n01784675,0.66
n01795545,0.82
n01796340,0.78
n01797886,0.8
n01798484,0.86
n01806143,0.8
n01806567,0.86
n01807496,0.68
n01817953,0.94
n01818515,0.92
n01819313,0.86
n01820546,0.94
n01824575,0.8
n01828970,0.92
n01829413,0.8
n01833805,0.88
n01843065,0.9
n01843383,0.88
n01847000,0.76
n01855032,0.86
n01855672,0.7
n01860187,0.94
n01871265,0.69
n01872401,0.96
n01873310,0.76
n01877812,0.68
n01882714,0.8
n01883070,0.68
n01910747,0.81
n01914609,0.69
n01917289,0.78
n01924916,0.72
n01930112,0.79
n01943899,0.73
n01944390,0.8
n01945685,0.6
n01950731,0.78
n01955084,0.79
n01968897,0.76
n01978287,0.69
n01978455,0.47
n01980166,0.56
n01981276,0.72
n01983481,0.68
n01984695,0.69
n01985128,0.33
n01986214,0.74
n01990800,0.5
n02002556,0.86
n02002724,0.8
n02006656,0.98
n02007558,0.94
n02009229,0.82
n02009912,0.82
n02011460,0.76
n02012849,0.63
n02013706,0.96
n02017213,0.94
n02018207,0.82
n02018795,0.9
n02025239,0.96
n02027492,0.8
n02028035,0.83
n02033041,0.84
n02037110,0.82
n02051845,0.86
n02056570,0.91
n02058221,0.82
n02066245,0.83
n02071294,0.96
n02074367,0.9
n02077923,0.78
n02085620,0.54
n02085782,0.74
n02085936,0.76
n02086079,0.78
n02086240,0.58
n02086646,0.86
n02086910,0.78
n02087046,0.5
n02087394,0.6
n02088094,0.69
n02088238,0.72
n02088364,0.74
n02088466,0.36
n02088632,0.76
n02089078,0.65
n02089867,0.46
n02089973,0.38
n02090379,0.64
n02090622,0.76
n02090721,0.48
n02091032,0.68
n02091134,0.66
n02091244,0.61
n02091467,0.84
n02091635,0.6
n02091831,0.6
n02092002,0.68
n02092339,0.88
n02093256,0.62
n02093428,0.62
n02093647,0.82
n02093754,0.71
n02093859,0.7
n02093991,0.54
n02094114,0.54
n02094258,0.6
n02094433,0.5
n02095314,0.72
n02095570,0.57
n02095889,0.78
n02096051,0.72
n02096177,0.64
n02096294,0.42
n02096437,0.82
n02096585,0.82
n02097047,0.64
n02097130,0.56
n02097209,0.72
n02097298,0.74
n02097474,0.45
n02097658,0.62
n02098105,0.6
n02098286,0.84
n02098413,0.52
n02099267,0.7
n02099429,0.64
n02099601,0.76
n02099712,0.74
n02099849,0.64
n02100236,0.71
n02100583,0.64
n02100735,0.7
n02100877,0.68
n02101006,0.78
n02101388,0.76
n02101556,0.84
n02102040,0.84
n02102177,0.88
n02102318,0.58
n02102480,0.63
n02102973,0.88
n02104029,0.56
n02104365,0.76
