,incontext_loss,incontext_acc_top1,incontext_acc_top5,outofcontext_loss,outofcontext_acc_top1,outofcontext_acc_top5
0,2.089329,0.429402,0.79858804,1.8946887,0.55769145,0.8040803
1,1.9487648,0.5283333,0.8045833,1.6685113,0.60288405,0.83590037
2,1.4267688,0.63230383,0.8760434,1.7374941,0.58710355,0.82884693
3,1.5987656,0.6234414,0.8674148,1.7583311,0.58878076,0.82440215
4,1.3987634,0.65141433,0.8831115,1.6430925,0.60900205,0.8401405
5,1.3050996,0.67512476,0.8922629,1.64517,0.6103984,0.8381551
6,1.253103,0.6970937,0.8927548,1.6087053,0.6176002,0.8442188
7,0.9827464,0.75748754,0.9147255,1.8174151,0.574748,0.8226644
8,1.0692303,0.7553808,0.9081126,1.6507026,0.6112348,0.8403605
9,0.9915429,0.7592824,0.9190655,1.6849835,0.6014703,0.837569
10,0.8452864,0.79342914,0.93347025,1.694175,0.60288626,0.83590597
11,0.8615281,0.8025,0.92583334,1.6618212,0.6071818,0.841507
12,0.5690843,0.8592839,0.9600333,2.0327666,0.53802687,0.7993062
13,0.6821938,0.8399835,0.93870836,1.6849929,0.6050822,0.83731747
14,0.55326396,0.86791664,0.9558333,1.8536284,0.57482874,0.8190148
15,0.49012306,0.879649,0.96364397,1.8226811,0.57692224,0.8221398
16,0.47713527,0.89079756,0.9631902,1.7481749,0.5948726,0.83257264
17,0.3947671,0.9134934,0.9660596,1.7124356,0.6032037,0.83593035
18,0.3746521,0.91659784,0.971924,1.5807348,0.628645,0.8494194
19,0.18252774,0.9594371,0.9846854,1.7379143,0.5993191,0.8314565
20,2.012028,0.4638831,0.80960333,2.0197878,0.53316754,0.7897171
21,1.9320498,0.50188524,0.80938417,1.9049612,0.55490613,0.80639464
22,1.7977391,0.54879063,0.8294412,1.8938959,0.5574389,0.8078534
23,1.5024079,0.6038988,0.8697636,1.9280152,0.5501779,0.8057259
24,1.5570709,0.6102881,0.85884774,1.8569518,0.5607754,0.8166914
