,loss_in,loss_out,acc_top1_in,acc_top1_out,acc_top5_in,acc_top5_out
0,0.99629235,2.1241841,0.7604481,0.5250343,0.9155536,0.78040814
1,0.8364096,2.1892602,0.8028111,0.50771517,0.9355105,0.78118247
2,0.86700207,2.0498543,0.8020833,0.5364981,0.9291667,0.7974388
3,0.7107099,2.139858,0.8327153,0.5169719,0.9447878,0.7916439
4,0.8182483,2.139714,0.8004936,0.52411205,0.93870836,0.78226036
5,0.645642,2.1429708,0.85228217,0.51717293,0.9539419,0.7839312
6,0.90659225,2.2032712,0.79716194,0.5063697,0.9173623,0.77991796
7,0.8062749,2.1131036,0.79844004,0.5220951,0.9310345,0.7872582
8,0.8694407,1.9065323,0.7690129,0.5628414,0.95064723,0.80620986
9,0.8278071,2.0639381,0.78185564,0.5339969,0.9410309,0.7940541
