,loss_in,loss_out,acc_top1_in,acc_top1_out,acc_top5_in,acc_top5_out
0,0.5520384,1.6100786,0.877551,0.62385607,0.9591837,0.84560794
1,0.6691275,1.9240798,0.8125,0.57479954,0.9375,0.81253374
2,0.31970543,2.1783006,0.93367344,0.53390783,0.96938777,0.79794765
3,0.2821298,2.8792722,0.95214105,0.46443427,0.98488665,0.7401601
4,0.77396303,2.5451605,0.8175938,0.46621722,0.94307894,0.73677444
5,0.8269189,2.3327997,0.80893785,0.48989165,0.93069947,0.76519465
6,0.95320415,2.0134025,0.77031803,0.53431576,0.92354643,0.8018615
7,1.132131,1.7832884,0.73034436,0.58027095,0.8979857,0.8270787
8,1.207389,1.7195253,0.7120116,0.5938266,0.8916224,0.8313858
9,1.1594216,1.6429155,0.71422416,0.61030525,0.9036287,0.8424174
